ESF;UC;centroid (lat);centroid (long);distance (km)
federal;RESERVA BIOLÓGICA DO UATUMÃ;-1,22709659;-59,45743063;82,23606602
federal;PARQUE NACIONAL DA CHAPADA DIAMANTINA;-12,88078193;-41,37088035;49,96117675
federal;PARQUE NACIONAL DO ARAGUAIA;-10,55758674;-50,16463495;79,6845944
federal;PARQUE NACIONAL DO CABO ORANGE;3,65002736;-51,18958975;104,0873488
federal;ESTAÇÃO ECOLÓGICA DO JARI;-0,43306059;-52,98450165;59,82249692
federal;PARQUE NACIONAL DE JERICOACOARA;-2,81733943;-40,49630143;11,44220621
federal;PARQUE NACIONAL MAR. DE FERNANDO DE NORONHA;-3,86111514;-32,40259008;9,168996923
federal;RESERVA BIOLÓGICA GUARIBAS;-6,7192869;-35,15704756;12,66178733
federal;RESERVA BIOLÓGICA DO TINGUÁ;-22,56305636;-43,4098305;20,18007418
federal;ESTAÇÃO ECOLÓGICA DE IQUÊ;-12,06620389;-59,29728613;43,89140579
federal;PARQUE NACIONAL DE ANAVILHANAS;-2,47946943;-60,82083782;80,26608496
federal;ESTAÇÃO ECOLÓGICA DE MURICI;-9,228379;-35,84971294;10,435034
federal;ESTAÇÃO ECOLÓGICA DO TAIM;-32,74358517;-52,5967288;67,82576357
federal;RESERVA BIOLÓGICA DO TAPIRAPÉ;-5,62930766;-50,61159865;37,26161485
federal;PARQUE NACIONAL DO MONTE RORAIMA;5,09952709;-60,37254367;41,82629013
federal;ESTAÇÃO ECOLÓGICA RASO DA CATARINA;-9,7206821;-38,6011318;24,21921401
federal;ESTAÇÃO ECOLÓGICA DE AIUABA;-6,68189567;-40,21422987;13,47045733
federal;PARQUE NACIONAL DE BRASÍLIA;-15,64055815;-48,01966187;19,10285465
federal;PARQUE NACIONAL MARINHO DOS ABROLHOS;-17,91265927;-38,70830127;65,6835577
federal;RESERVA BIOLÓGICA DAS PEROBAS;-23,85808101;-52,75818868;8,302827703
federal;RESERVA BIOLÓGICA DO GUAPORÉ;-12,51950543;-62,79062121;82,48146991
federal;PARQUE NACIONAL DAS ARAUCÁRIAS;-26,77393454;-51,94012093;15,68189002
federal;PARQUE NACIONAL DO RIO NOVO;-7,75877819;-56,43957506;87,91384987
federal;RESERVA BIOLÓGICA DO JARU;-9,84112499;-61,71197632;63,17360035
federal;PARQUE NACIONAL DO IGUAÇU;-25,40295018;-53,88834681;64,83096124
federal;ESTAÇÃO ECOLÓGICA DE JUTAÍ-SOLIMÕES;-3,1458443;-67,59004228;48,62482584
federal;PARQUE NACIONAL DA CHAPADA DAS MESAS;-7,15206674;-47,14423471;46,33160173
federal;ESTAÇÃO ECOLÓGICA DA SERRA DAS ARARAS;-15,64210024;-57,18993458;25,13357644
federal;PARQUE NACIONAL DE CAPARAO;-20,44621692;-41,7865686;18,95779878
federal;PARQUE NACIONAL DO ALTO CARIRI;-16,38569301;-39,9853705;17,02160205
federal;PARQUE NACIONAL DAS SEMPRE VIVAS;-17,80569285;-43,77657131;29,84934789
federal;PARQUE NACIONAL DA SERRA DO CIPÓ;-19,37864399;-43,53483334;18,15550882
federal;PARQUE NACIONAL DE ILHA GRANDE;-23,69115647;-53,98993137;52,97387184
estadual;ESTAÇÃO ECOLÓGICA ITABERç;-23,84471;-49,14093137;1,15709561
estadual;PARQUE ESTADUAL NOVA BADEN;-21,93585778;-45,3193802;1,260962065
estadual;PARQUE ESTADUAL DE ITAPETINGA;-23,23643327;-46,50034222;13,51610199
estadual;PARQUE ESTADUAL DA ILHA ANCHIETA;-23,54204584;-45,06335965;2,650401148
estadual;PARQUE ESTADUAL DE MONTE ALEGRE;-2,05321772;-54,17255363;7,707058047
estadual;PARQUE ESTADUAL SERRA DO ARACç;1,49551546;-63,36277627;97,93616799
estadual;PARQUE ESTADUAL DAS FURNAS DO BOM JESUS;-20,22443919;-47,43533036;4,851021602
estadual;PARQUE ESTADUAL DE DOIS IRMÌOS;-8,00414695;-34,94801723;1,451393942
estadual;PARQUE ESTADUAL SERRA DO SOBRADO;-19,67598218;-44,00422311;1,935651808
estadual;PARQUE ESTADUAL TUCUMÌ;-8,89772344;-61,19783579;26,57162817
estadual;PARQUE ESTADUAL DA ILHA GRANDE;-23,15424624;-44,22541096;15,54713957
estadual;PARQUE ESTADUAL SÊTIO FUNDÌO;-7,23349621;-39,43953751;0,844024786
estadual;PARQUE ESTADUAL DO JACARAP_;-7,19601852;-34,80157407;0,537390871
estadual;PARQUE ESTADUAL DO DESCOBERTO;-15,74018084;-48,22939406;4,010938501
estadual;PARQUE ESTADUAL DO JURUPARç;-23,94460891;-47,29784621;13,23426926
estadual;PARQUE ESTADUAL SUMAòMA;-3,03488058;-59,98027212;0,744372798
estadual;ESTAÇÃO ECOLÓGICA DE CAETÉS;-7,93259544;-34,92382814;0,45108087
estadual;RESERVA BIOLÓGICA ESTADUAL DO AGUAÊ;-28,56957159;-49,62566024;16,29324527
estadual;PARQUE ESTADUAL CAMINHO DOS GERAIS;-15,00395999;-43,01046473;33,1567839
estadual;MONUMENTO NATURAL DO RIO FORMOSO;-21,11948871;-56,38839563;0,535575874
estadual;ESTAÇÃO ECOLÓGICA DO JARDIM BOTÂNICO;-15,89998271;-47,85028663;5,297807521
estadual;PARQUE ESTADUAL SERRA NEGRA;-18,02452703;-42,81814075;14,99659965
estadual;ESTAÇÃO ECOLÓGICA RIO FLOR DO PRADO;-10,67804887;-60,36521362;9,636847342
estadual;RESERVA BIOLÓGICA DO PARAZINHO;0,88378937;-49,99059093;1,934417033
estadual;MONUMENTO NATURAL DA GRUTA DO LAGO AZUL;-21,11254127;-56,58323482;4,39708759
estadual;PARQUE ESTADUAL DO ITACOLOMI;-20,4405934;-43,46272555;6,671547445
estadual;MONUMENTO NATURAL ESTADUAL  SERRA DAS TORRES;-21,00731191;-41,26277848;13,31245399
estadual;PARQUE ESTADUAL DO ITINGUÇU;-24,40262191;-47,07034997;8,510551689
estadual;ESTAÇÃO ECOLÓGICA DE ITAPETI;-23,51129712;-46,24312618;0,715173523
estadual;REFòGIO DE VIDA SILVESTRE ESTADUAL MACAòBAS;-19,65585885;-43,80321607;5,645982161
estadual;MONUMENTO NATURAL ESTADUAL PICO DO IBITURUNA;-18,88784922;-41,90320762;2,904861227
estadual;REFòGIO DE VIDA SILVESTRE ESTADUAL SERRA DAS AROEIRAS;-19,72235045;-44,0430781;2,827516441
estadual;ESTAÇÃO ECOLÓGICA ESTADUAL ARATINGA;-29,35202016;-50,23256993;5,357354337
estadual;PARQUE ESTADUAL SERRA DO BRIGADEIRO;-20,68244615;-42,43890905;25,15002994
estadual;PARQUE ESTADUAL DE ITAPEVA;-29,36151422;-49,75573981;3,095043334
estadual;MONUMENTO NATURAL VALE DOS DINOSSAUROS;-6,73488685;-38,26087351;0,588992713
estadual;RESERVA BIOLÓGICA ESTADUAL DA PRAIA DO SUL;-23,16857901;-44,28619663;9,001384829
estadual;ESTAÇÃO ECOLÓGICA DE AVAR_;-23,04538441;-48,90499687;6,622085769
estadual;MONUMENTO NATURAL DAS çRVORES FOSSILIZADAS;-7,46408054;-47,78608723;17,59098634
estadual;PARQUE ESTADUAL DO MENDANHA;-22,81492861;-43,51371025;9,426570762
estadual;ESTAÇÃO ECOLÓGICA DE PAULO DE FARIA;-19,94689304;-49,52559842;2,896992718
estadual;PARQUE ESTADUAL MATA SECA;-14,87075051;-43,98016427;9,593990532
estadual;PARQUE ESTADUAL DO LIMOEIRO;-19,58592279;-43,45150903;3,908511977
estadual;ESTAÇÃO ECOLÓGICA ESTADUAL WENCESLAU GUIMARÌES;-13,59535709;-39,72939054;4,211626689
estadual;PARQUE ESTADUAL DA SERRA FURADA;-28,15982523;-49,40835723;4,556644388
estadual;REFÚGIO DE VIDA SILVESTRE MATA DO URUCU;-8,24229846;-35,25339787;3,569410191
estadual;PARQUE ESTADUAL DOS PIRINEUS;-15,80606941;-48,8481933;4,521749615
estadual;REFÚGIO DE VIDA SILVESTRE MATA DE TAPACURÁ;-8,03763522;-35,13652239;1,478699216
estadual;PARQUE ESTADUAL DA SERRA DA CONCîRDIA;-22,3401033;-43,71663226;2,959235817
estadual;PARQUE ESTADUAL DO PROSA;-20,45118888;-54,55960063;0,986054183
estadual;PARQUE ESTADUAL SERRA DO OURO BRANCO;-20,483945;-43,67731539;9,000354029
